decision_date,side,qty,fill_px,env_decision_close,env_next_close,fill==decision?,fill==next?
2023-01-03,OrderSide.BUY,54.0,1839.47,1839.47,1854.68,True,False
2023-01-06,OrderSide.SELL,54.0,1866.03,1866.03,1920.29,True,False
2023-01-09,OrderSide.BUY,54.0,1871.67,1871.67,1876.91,True,False
2023-01-12,OrderSide.SELL,54.0,1896.75,1896.75,1920.29,True,False
2023-02-01,OrderSide.SELL,52.0,1950.06,1950.06,1912.6,True,False
2023-02-02,OrderSide.BUY,106.0,1912.6,1912.6,1865.81,True,False
2023-02-03,OrderSide.SELL,108.0,1865.81,1865.81,1865.35,True,False
2023-02-05,OrderSide.BUY,54.0,1865.35,1865.35,1867.65,True,False
2023-03-12,OrderSide.SELL,51.0,1988.17,1988.17,1913.56,True,False
2023-03-13,OrderSide.BUY,106.0,1913.56,1913.56,1903.86,True,False
2023-03-27,OrderSide.SELL,55.0,1956.35,1956.35,1973.52,True,False
2023-04-01,OrderSide.BUY,54.0,1989.55,1989.55,2007.32,True,False
2023-04-02,OrderSide.SELL,54.0,2007.32,2007.32,1984.35,True,False
2023-04-04,OrderSide.BUY,53.0,2020.53,2020.53,2020.66,True,False
2023-04-09,OrderSide.SELL,53.0,2004.42,2004.42,1991.18,True,False
2023-04-13,OrderSide.SELL,53.0,2040.1,2040.1,2004.42,True,False
2023-04-14,OrderSide.BUY,53.0,2004.42,2004.42,1982.84,True,False
2023-05-04,OrderSide.SELL,53.0,2050.15,2050.15,2016.54,True,False
2023-05-05,OrderSide.BUY,53.0,2016.54,2016.54,2010.91,True,False
2023-08-13,OrderSide.BUY,59.0,1889.37,1889.37,1907.42,True,False
2023-08-14,OrderSide.SELL,59.0,1907.42,1907.42,1901.85,True,False
2023-10-01,OrderSide.SELL,56.0,1983.97,1983.97,1827.77,True,False
2023-10-02,OrderSide.BUY,56.0,1827.77,1827.77,1822.94,True,False
2023-10-05,OrderSide.BUY,66.0,1820.24,1820.24,1831.84,True,False
2023-10-06,OrderSide.SELL,66.0,1831.84,1831.84,1932.41,True,False
2023-10-08,OrderSide.SELL,63.0,1932.41,1932.41,1861.35,True,False
2023-10-09,OrderSide.BUY,63.0,1861.35,1861.35,1860.42,True,False
2023-10-13,OrderSide.BUY,65.0,1932.41,1932.41,1980.9,True,False
2023-10-15,OrderSide.SELL,65.0,1980.9,1980.9,1920.06,True,False
2023-10-22,OrderSide.SELL,64.0,2005.91,2005.91,1972.74,True,False
2023-10-23,OrderSide.BUY,64.0,1972.74,1972.74,1971.03,True,False
2023-10-29,OrderSide.BUY,66.0,1992.52,1992.52,1996.15,True,False
2023-10-30,OrderSide.SELL,66.0,1996.15,1996.15,1983.97,True,False
2023-11-20,OrderSide.SELL,66.0,1977.65,1977.65,1998.26,True,False
2023-11-21,OrderSide.BUY,66.0,1998.26,1998.26,1989.81,True,False
2023-12-03,OrderSide.BUY,65.0,2004.04,2004.04,2028.89,True,False
2023-12-17,OrderSide.SELL,65.0,2052.75,2052.75,2027.21,True,False
2023-12-18,OrderSide.BUY,66.0,2027.21,2027.21,2040.13,True,False
2023-12-21,OrderSide.SELL,132.0,2045.78,2045.78,2052.75,True,False
2023-12-22,OrderSide.BUY,66.0,2052.75,2052.75,2062.67,True,False
2023-12-26,OrderSide.BUY,65.0,2067.44,2067.44,2077.49,True,False
2023-12-27,OrderSide.SELL,130.0,2077.49,2077.49,2065.25,True,False
2023-12-28,OrderSide.BUY,130.0,2065.25,2065.25,2062.67,True,False
2023-12-31,OrderSide.SELL,65.0,2045.3,2045.3,2039.2,True,False
2024-03-01,OrderSide.BUY,64.0,2083.26,2083.26,2178.55,True,False
2024-03-11,OrderSide.SELL,64.0,2182.65,2182.65,2158.13,True,False
2024-03-25,OrderSide.BUY,64.0,2171.73,2171.73,2178.63,True,False
2024-03-26,OrderSide.SELL,64.0,2178.63,2178.63,2194.88,True,False
2024-03-31,OrderSide.BUY,60.0,2329.28,2329.28,2251.31,True,False
2024-04-01,OrderSide.SELL,60.0,2251.31,2251.31,2280.53,True,False
2024-04-05,OrderSide.SELL,58.0,2329.28,2329.28,2344.22,True,False
2024-04-07,OrderSide.BUY,58.0,2344.22,2344.22,2338.82,True,False
2024-05-12,OrderSide.SELL,56.0,2413.84,2413.84,2336.14,True,False
2024-05-13,OrderSide.BUY,56.0,2336.14,2336.14,2358.0,True,False
2024-05-17,OrderSide.SELL,57.0,2413.84,2413.84,2333.86,True,False
2024-05-19,OrderSide.BUY,57.0,2333.86,2333.86,2426.22,True,False
2024-07-05,OrderSide.BUY,60.0,2391.06,2391.06,2411.59,True,False
2024-07-07,OrderSide.SELL,60.0,2411.59,2411.59,2359.09,True,False
2024-07-17,OrderSide.SELL,59.0,2458.66,2458.66,2445.08,True,False
2024-07-19,OrderSide.BUY,59.0,2400.3,2400.3,2387.34,True,False
2024-08-06,OrderSide.BUY,62.0,2389.85,2389.85,2383.06,True,False
2024-08-09,OrderSide.SELL,62.0,2431.07,2431.07,2507.46,True,False
2024-08-11,OrderSide.SELL,60.0,2507.46,2507.46,2472.03,True,False
2024-08-12,OrderSide.SELL,2.0,2472.03,2472.03,2464.98,True,False
2024-08-14,OrderSide.BUY,62.0,2447.92,2447.92,2456.24,True,False
2024-08-16,OrderSide.SELL,61.0,2507.46,2507.46,2511.93,True,False
2024-08-19,OrderSide.SELL,1.0,2504.23,2504.23,2514.01,True,False
2024-08-20,OrderSide.BUY,1.0,2514.01,2514.01,2512.3,True,False
2024-08-22,OrderSide.SELL,1.0,2484.73,2484.73,2511.93,True,False
2024-08-23,OrderSide.BUY,1.0,2511.93,2511.93,2503.35,True,False
2024-08-25,OrderSide.SELL,1.0,2503.35,2503.35,2517.91,True,False
2024-08-26,OrderSide.BUY,1.0,2517.91,2517.91,2524.59,True,False
2024-08-30,OrderSide.BUY,61.0,2503.35,2503.35,2634.53,True,False
2024-09-01,OrderSide.SELL,58.0,2634.53,2634.53,2499.46,True,False
2024-09-02,OrderSide.BUY,58.0,2499.46,2499.46,2492.86,True,False
