policy,,gross_return,drawdown,cost_frac,stability,reward,equity
all_long,0,0.0,0.0,0.0,-1.0,-0.1,10000000.0
all_long,1,0.0,0.0,0.0,-0.0,0.0,10000000.0
all_long,2,0.0,0.0,0.0,-0.0,0.0,10000000.0
all_long,3,0.0,0.0,0.0,-0.0,0.0,10000000.0
all_long,4,0.0,0.0,0.0,-0.0,0.0,10000000.0
all_long,5,0.0,0.0,0.0,-0.0,0.0,10000000.0
all_long,6,0.0,0.0,0.0,-0.0,0.0,10000000.0
all_long,7,-1.9003000000112094e-05,0.00016148381377626211,0.00014248081377615,-0.0,-0.0004132110344407113,9998385.161862237
all_long,8,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,9,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,10,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,11,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,12,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,13,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,14,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,15,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,16,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,17,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,18,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,19,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,20,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,21,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,22,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,23,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,24,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,25,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,26,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,27,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,28,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,29,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,30,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,31,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,32,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,33,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,34,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,35,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,36,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,37,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,38,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,39,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,40,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,41,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,42,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,43,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,44,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,45,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,46,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,47,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,48,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,49,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,50,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,51,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,52,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,53,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,54,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,55,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,56,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,57,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,58,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,59,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,60,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,61,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,62,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,63,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,64,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,65,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,66,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,67,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,68,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,69,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,70,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,71,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,72,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,73,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,74,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,75,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,76,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,77,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,78,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,79,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,80,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,81,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,82,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,83,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,84,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,85,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,86,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,87,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,88,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,89,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,90,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,91,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,92,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,93,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,94,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,95,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,96,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,97,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,98,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,99,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,100,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,101,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,102,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,103,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,104,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,105,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,106,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,107,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,108,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,109,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,110,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,111,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,112,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,113,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,114,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,115,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,116,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,117,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,118,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,119,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,120,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,121,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,122,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,123,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,124,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,125,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,126,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,127,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,128,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,129,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,130,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,131,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,132,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,133,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,134,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,135,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,136,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,137,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,138,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,139,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,140,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,141,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,142,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,143,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,144,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,145,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,146,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,147,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,148,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,149,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,150,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,151,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,152,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,153,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,154,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,155,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,156,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,157,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,158,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,159,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,160,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,161,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,162,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,163,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,164,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,165,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,166,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,167,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,168,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,169,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,170,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,171,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,172,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,173,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,174,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,175,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,176,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,177,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,178,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,179,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,180,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,181,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,182,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,183,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,184,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,185,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,186,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,187,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,188,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,189,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,190,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,191,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,192,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,193,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,194,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,195,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,196,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,197,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,198,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,199,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,200,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,201,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,202,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
all_long,203,0.0,0.00016148381377626211,0.0,-0.0,-0.00032296762755252423,9998385.161862237
