timesteps,approx_kl,clip_fraction,entropy_loss,explained_variance,policy_gradient_loss,value_loss,learning_rate,ep_rew_mean
2048,0.009362128,0.034326171875,-1.0941313698887825,-0.02589869499206543,-0.0038387393171433358,23.83329256772995,0.000295904,
4096,0.0041383873,9.765625e-05,-1.0861086234450341,0.18113011121749878,-0.0013222542387666182,64.3235107421875,0.00029180799999999995,
6144,0.0007293144,0.0,-1.0813795700669289,-0.0001926422119140625,-0.0011393623368348925,194.95771160125733,0.00028771199999999997,
8192,0.0017862768,0.0,-1.0851834908127784,-0.006813526153564453,-0.0011437800334533677,303.9364517211914,0.000283616,
10240,7.425144e-05,0.0,-1.0853159800171852,-0.0018614530563354492,-0.0003283113721408881,409.18352432250975,0.00027951999999999995,
12288,0.00040011722,0.0,-1.0818558201193809,-3.528594970703125e-05,-0.0014314445405034348,485.35599250793456,0.00027542399999999997,
14336,0.0011218213,0.0,-1.0847371831536292,0.0002129077911376953,-0.0008239573304308579,538.5180355072022,0.000271328,
16384,0.00026791697,0.0,-1.0907389774918557,-0.0001748800277709961,-0.0005663171468768269,569.3653663635254,0.00026723199999999995,
18432,0.0050478973,0.000537109375,-1.0824345380067826,-0.0002466440200805664,-0.0031187914864858612,606.3971641540527,0.00026313599999999997,
20480,0.0021252688,0.0,-1.071204450726509,0.0006281733512878418,-0.001507381538976915,628.1588684082031,0.00025903999999999993,
22528,0.002066691,0.0,-1.071966403722763,-0.0013617277145385742,-0.0017407601349987089,638.1890907287598,0.00025494399999999995,
24576,0.006024368,0.0314453125,-1.046675181388855,0.0017524957656860352,-0.007045197239494883,631.4919296264649,0.00025084799999999997,
26624,0.0011152234,0.0,-1.045770575106144,1.9431114196777344e-05,-0.0007843608851544559,616.4979125976563,0.000246752,
28672,0.0052832104,0.009375,-1.0032657228410244,4.589557647705078e-05,-0.0024097616551443934,609.7819869995117,0.00024265599999999998,
30720,0.007206988,0.015283203125,-0.9566251754760742,4.774332046508789e-05,-0.004539149921038188,589.712174987793,0.00023856,
32768,0.0043554613,0.01025390625,-0.9055079542100429,7.104873657226562e-05,-0.002351019674097188,572.3572250366211,0.00023446399999999996,
34816,0.0042884625,0.026904296875,-0.9368309237062931,-1.895427703857422e-05,-0.0039866291801445184,398.37330131530763,0.00023036799999999997,
36864,0.0091108885,0.066162109375,-0.8507424555718899,-0.0004788637161254883,-0.007208869466558099,7.71741392314434,0.000226272,
38912,0.0059599825,0.08671875,-0.9772029116749763,-1.2770097255706787,-0.002471165865426883,24.278746592998505,0.000222176,
40960,0.0057764226,0.023486328125,-0.9084375478327275,-9.071826934814453e-05,-0.005804690450895577,77.54177069664001,0.00021807999999999997,
43008,0.0075322986,0.02158203125,-0.849173554033041,0.000110626220703125,-0.003636041728896089,121.40017786026002,0.000213984,
45056,0.006016928,0.0271484375,-0.8451993584632873,-4.208087921142578e-05,-0.004494678703485988,159.84644412994385,0.00020988799999999998,
47104,0.0066147335,0.01826171875,-0.8065113231539727,8.83340835571289e-05,-0.0040323102541151455,181.43730239868165,0.00020579199999999997,
49152,0.009213533,0.04404296875,-0.7467970013618469,0.00025773048400878906,-0.004886434762738645,217.77698554992676,0.000201696,
51200,0.0045675132,0.01865234375,-0.733268965035677,0.0002371668815612793,-0.0051650416455231605,259.51871662139894,0.0001976,
53248,0.0007708203,0.0001953125,-0.6211592547595501,-1.6689300537109375e-05,-0.0010793842608109116,280.10705223083494,0.00019350399999999997,
55296,0.0042284084,0.0115234375,-0.7024693563580513,0.00011903047561645508,-0.003304668192868121,293.7855033874512,0.00018940799999999996,
57344,0.0042347694,0.02568359375,-0.5419550973922014,0.0001443028450012207,-0.003114524044212885,293.87863578796384,0.00018531199999999998,
59392,0.0012664762,0.00029296875,-0.5966236971318721,3.2067298889160156e-05,-0.001130010846100049,299.36265144348147,0.000181216,
61440,0.00084779377,0.0013671875,-0.5000101204961538,5.692243576049805e-05,-0.0014949492498999462,296.5807189941406,0.00017711999999999998,
63488,0.010279284,0.04248046875,-0.4265567447990179,-7.355213165283203e-05,-0.0011331730929668993,254.5399824142456,0.000173024,
65536,0.0030121042,0.035693359375,-0.4963867601007223,0.7044349908828735,-0.0006176913622766734,282.7487854003906,0.000168928,
67584,0.00012922837,0.0,-0.4967591278254986,0.6786988973617554,-0.00035415812162682415,166.22341432571412,0.00016483199999999996,
69632,0.00034146084,0.000244140625,-0.4428887587040663,0.6584417223930359,-0.0005735281039960683,13.236322832107543,0.00016073599999999997,
71680,0.005518728,0.038134765625,-0.4846027955412865,0.27677619457244873,-0.004473055462585762,26.547584962844848,0.00015664,
73728,0.0032301426,0.0328125,-0.5538244798779488,-0.13908874988555908,-0.0027768223721068353,12.832582676410675,0.000152544,
75776,0.004507142,0.067333984375,-0.4807598639279604,0.434650719165802,-0.010907297354424372,3.3801182068884374,0.00014844799999999997,
77824,0.008927027,0.05595703125,-0.45353933945298197,-0.2584789991378784,-0.003931773256044835,3.2742236744612456,0.000144352,
79872,0.0029015455,0.051025390625,-0.6287131138145924,-0.4108496904373169,0.0013941990619059652,12.027426981925965,0.000140256,
81920,0.0006340479,4.8828125e-05,-0.4783309865742922,0.293415904045105,-0.001249502765131183,42.15651385784149,0.00013615999999999997,
83968,0.0014947852,0.002587890625,-0.4894608620554209,-0.019484877586364746,-0.0031250980333425104,50.93410196304321,0.000132064,
86016,0.00027033855,0.0,-0.4551324974745512,-0.006361484527587891,-0.0008249262842582539,75.67674565315247,0.000127968,
88064,0.00082884013,0.002685546875,-0.45857545025646684,0.0037616491317749023,-0.0021462950287968853,87.71710605621338,0.000123872,
90112,0.00055889424,0.0,-0.4821215119212866,0.0033936500549316406,-0.0012471680965973064,103.68341941833496,0.000119776,
92160,0.0013365584,0.003369140625,-0.4176471192389727,-0.0005677938461303711,-0.0017682390665868298,135.99143648147583,0.00011568,
94208,0.00016908845,0.0,-0.501569702103734,0.00032150745391845703,-0.0008334762125741691,153.6142110824585,0.00011158399999999998,
96256,0.00045348532,0.0,-0.5363314971327782,0.002641439437866211,-0.0016294575470965356,89.69213542938232,0.000107488,
98304,0.0007478545,0.000146484375,-0.4947019934654236,0.0027346014976501465,-0.0009010907684569247,37.12095611095428,0.00010339199999999998,
100352,0.00016885952,0.0,-0.41814238429069517,-0.13287591934204102,-0.00033079446584451946,24.27792021036148,9.929599999999999e-05,
102400,0.0015536163,0.009912109375,-0.5554139845073223,0.5170509815216064,-0.0012975362711586057,10.008024325966835,9.52e-05,
104448,0.0035938988,0.033056640625,-0.5057389732450247,-0.24876761436462402,-0.0060579501645406705,2.490831007063389,9.110399999999997e-05,
106496,0.0015769803,0.014697265625,-0.426296092197299,-0.06704831123352051,-0.0006973384064622223,3.6301506847143172,8.700799999999999e-05,
108544,0.0034069836,0.017041015625,-0.4771186362951994,-0.6952159404754639,-0.004038539598695934,3.622265028953552,8.2912e-05,
110592,0.0017958833,0.006640625,-0.6097914107143879,0.03336817026138306,-0.0023009332653600723,14.464196515083312,7.881599999999999e-05,
112640,0.00023771246,0.0,-0.5481473363935947,-0.02582406997680664,-0.0009192491561407223,44.05557646751404,7.471999999999999e-05,
114688,0.0008025515,0.000732421875,-0.4439002420753241,-0.462831974029541,-0.0020303538156440483,42.92586669921875,7.062400000000001e-05,
116736,0.00091898104,0.0,-0.4797254282981157,0.1337764859199524,-0.0017728113220073284,66.68862342834473,6.652799999999998e-05,
118784,0.0002109867,0.0,-0.467491889744997,-0.007907390594482422,-0.00089006926282309,82.23764238357543,6.243199999999999e-05,
120832,0.0001856242,0.0,-0.4690905760973692,0.008238792419433594,-0.0007036838098429144,91.46276550292968,5.8336000000000005e-05,
122880,2.8224284e-05,0.0,-0.3914955612272024,-0.0010906457901000977,-0.00012204485828988254,109.79863834381104,5.423999999999998e-05,
124928,0.00012303071,0.0,-0.48017388917505743,-0.0018551349639892578,-0.00037221871898509564,161.4422149658203,5.014399999999999e-05,
126976,3.6151323e-05,0.0,-0.4494636818766594,0.004009604454040527,-0.0001765305787557736,96.50900964736938,4.604800000000001e-05,
129024,0.00014312199,0.0,-0.46552051939070227,0.0001302957534790039,-0.0005937613401329145,39.76945896148682,4.195199999999999e-05,
131072,0.0009085736,0.0009765625,-0.4157271280884743,-0.01695418357849121,-0.0023816912245820275,6.619049459695816,3.7856e-05,
133120,0.0006348514,0.000830078125,-0.45843253694474695,-0.2586946487426758,-0.0007225358800496906,3.596431639790535,3.376000000000001e-05,
135168,0.0028688349,0.0259765625,-0.3449395138770342,0.6120568513870239,-0.00597447021282278,0.7690943114459514,2.966399999999999e-05,
137216,0.0021828166,0.00830078125,-0.37801508121192456,0.8224195241928101,-0.0022021306853275747,1.6778065264225006,2.5568e-05,
139264,0.0002527953,0.000146484375,-0.39033327884972097,0.3931378126144409,-0.0008907607378205284,3.6211265295743944,2.147200000000001e-05,
141312,0.00011792421,0.0,-0.4038817171007395,0.060616493225097656,-0.0005377992492867634,8.385981577634812,1.737599999999999e-05,
143360,1.0708405e-05,0.0,-0.368843337148428,-0.0009293556213378906,-0.0002249739074613899,32.463045072555545,1.3280000000000002e-05,
145408,4.564383e-06,0.0,-0.34288900941610334,0.03480041027069092,-0.00013932023575762286,30.4547372341156,9.184000000000014e-06,
147456,1.3976824e-06,0.0,-0.37483383864164355,0.010654211044311523,-6.345146393869073e-05,43.26781778335571,5.087999999999992e-06,
149504,9.103678e-08,0.0,-0.366499687358737,0.012109875679016113,-1.383210765197873e-05,57.36264863014221,9.920000000000038e-07,
